dataset,query_id,objective_count,method,epsilon,status,certified,paths,reference_kind,reference_size,reference_configurations,empirical_epsilon,load_seconds,preprocess_seconds,search_seconds,total_seconds,peak_rss_mb,expanded,labels,merged,file
BAY,0026,3,apex_open_merge,0.2,epsilon_cover,True,11,unavailable_single_config,11,1,,0.757800137,0.495409246,0.026928897,1.284125916,70,27960,28615,7338,BAY_0026_m3_e0.2_2953c093f37bee9b.json
BAY,0026,5,apex_open_merge,0.2,epsilon_cover,True,24,unavailable_single_config,24,1,,0.734414917,0.609018609,0.048825969,1.396887019,72,51270,52232,18148,BAY_0026_m5_e0.2_058b146765b8df4b.json
BAY,0027,2,NAMOA_dr_goal_epsilon,0.0,exact,True,12,exact,12,2,0.0,0.734370673,0.262924673,0.006349487,1.00490584,137,1421,1489,0,BAY_0027_m2_e0.0_f3e910d2aa8493fc.json
BAY,0027,2,apex_open_merge,0.2,epsilon_cover,True,4,exact,12,2,0.0032998753936994696,0.629359779,0.257703118,0.009265755,0.898930194,69,0,1,0,BAY_0027_m2_e0.2_4d0ca9c705a78e9e.json
BAY,0027,3,apex_open_merge,0.2,epsilon_cover,True,5,unavailable_single_config,5,1,,0.73746213,0.36433396,0.011522281,1.116114661,69,3403,3403,1340,BAY_0027_m3_e0.2_f503d4d4d8d6ede5.json
BAY,0027,5,apex_open_merge,0.2,epsilon_cover,True,9,unavailable_single_config,9,1,,0.636271804,0.528224518,0.012697452,1.180570242,68,6377,6377,2356,BAY_0027_m5_e0.2_a57ea081a73473c6.json
BAY,0028,2,NAMOA_dr_goal_epsilon,0.0,exact,True,10,exact,10,2,0.0,0.726253386,0.249748994,0.005834098,0.983283376,137,1209,1355,0,BAY_0028_m2_e0.0_8a4f9c64a87b47be.json
BAY,0028,2,apex_open_merge,0.2,epsilon_cover,True,3,exact,10,2,0.041272722688651786,0.669081126,0.206095491,0.008867696,0.886251638,68,0,1,0,BAY_0028_m2_e0.2_0855a1281343b40d.json
BAY,0028,3,apex_open_merge,0.2,epsilon_cover,True,7,unavailable_single_config,7,1,,0.619643743,0.343147063,0.010358762,0.976373243,68,0,1,0,BAY_0028_m3_e0.2_4c91315ca4fbcc0a.json
BAY,0028,5,apex_open_merge,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.620861771,0.458609975,0.009744004,1.091618392,68,80,80,7,BAY_0028_m5_e0.2_188e733618510c18.json
BAY,0029,2,NAMOA_dr_goal_epsilon,0.0,exact,True,14,exact,14,2,0.0,0.730880943,0.320193831,0.00608004,1.058268775,140,1678,2013,0,BAY_0029_m2_e0.0_552a128d7e2d287c.json
BAY,0029,2,apex_open_merge,0.2,epsilon_cover,True,5,exact,14,2,0.019588116341539452,0.745487352,0.363641758,0.012517863,1.125777677,69,0,1,0,BAY_0029_m2_e0.2_9cec16d218423af7.json
BAY,0029,3,apex_open_merge,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.609376252,0.402042796,0.010163348,1.024298134,69,26,26,2,BAY_0029_m3_e0.2_bcb3d3f889038c20.json
BAY,0029,5,apex_open_merge,0.2,epsilon_cover,True,9,unavailable_single_config,9,1,,0.775184969,0.624950494,0.013235551,1.417690288,68,137,137,6,BAY_0029_m5_e0.2_a98198bba3f391ae.json
BAY,0030,2,NAMOA_dr_goal_epsilon,0.0,exact,True,167,exact,167,2,0.0,0.733507099,1.067534412,0.092083789,1.894741887,165,144673,180692,0,BAY_0030_m2_e0.0_432da86a2e3c79ed.json
BAY,0030,2,apex_open_merge,0.2,epsilon_cover,True,4,exact,167,2,0.039895590083099286,0.685780432,0.875765919,0.008786273,1.572488715,69,0,1,0,BAY_0030_m2_e0.2_7697cf8146f9e612.json
BAY,0030,3,apex_open_merge,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.750359346,0.854958447,0.031637242,1.641994891,70,31070,31070,6616,BAY_0030_m3_e0.2_ae3dd853bf5387e8.json
BAY,0030,5,apex_open_merge,0.2,epsilon_cover,True,12,unavailable_single_config,12,1,,0.617243907,0.751193848,0.014826644,1.386788607,69,12371,12371,3190,BAY_0030_m5_e0.2_ba728d9caeb056a7.json
